Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,174.5996,-121.3612,0.0,bottom
C1,200.152,-111.76,0.0,bottom
C10,197.104,-115.824,90.0,bottom
C2,192.024,-112.3696,180.0,bottom
C3,182.88,-118.364,180.0,bottom
C4,194.592,-122.936,180.0,bottom
C5,195.58,-115.824,270.0,bottom
C6,184.912,-122.936,180.0,bottom
C7,200.152,-113.284,180.0,bottom
C8,183.0324,-116.0272,270.0,bottom
C9,182.88,-119.888,0.0,bottom
D1,203.78075,-106.046,90.0,bottom
D2,185.49275,-106.046,90.0,bottom
D3,167.33375,-106.046,90.0,bottom
D4,149.33375,-106.046,90.0,bottom
D5,216.98875,-130.048,270.0,bottom
D6,198.70075,-130.048,270.0,bottom
D7,180.41275,-130.048,270.0,bottom
D8,162.63275,-130.048,270.0,bottom
F1,206.822,-114.22,0.0,bottom
J1,216.916,-117.856,270.0,bottom
NRST1,174.244,-115.1128,0.0,bottom
R3,210.35,-115.394,270.0,bottom
R4,210.35,-120.396,90.0,bottom
R5,180.594,-122.908,0.0,bottom
R6,180.594,-121.384,180.0,bottom
SW1,209.81375,-109.5507,180.0,bottom
SW2,191.81375,-109.5507,180.0,bottom
SW3,173.81375,-109.5507,180.0,bottom
SW4,155.81375,-109.5507,180.0,bottom
SW5,209.82835,-126.5587,0.0,bottom
SW6,191.81795,-126.5587,0.0,bottom
SW7,173.81375,-126.5507,0.0,bottom
SW8,155.81375,-126.5507,0.0,bottom
U1,189.484346,-118.364,180.0,bottom
U2,206.822,-120.904,90.0,bottom
U4,196.596,-112.776,180.0,bottom
